report_num,filing_date,url,report_type,report_name,cik_num
000117184321000179,2021-01-08,https://www.sec.gov/Archives/edgar/data//0001508171/000117184321000179/0001171843-21-000179-index.html,Form 8-K,Form 8-K - Current report:,0001508171
000117184320008450,2020-12-08,https://www.sec.gov/Archives/edgar/data//0001508171/000117184320008450/0001171843-20-008450-index.html,Form 8-K,Form 8-K - Current report:,0001508171
000117184320007687,2020-11-05,https://www.sec.gov/Archives/edgar/data//0001508171/000117184320007687/0001171843-20-007687-index.html,Form 8-K,Form 8-K - Current report:,0001508171
000119312520286846,2020-11-05,https://www.sec.gov/Archives/edgar/data//0001508171/000119312520286846/0001193125-20-286846-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001508171
000117911020011679,2020-12-04,https://www.sec.gov/Archives/edgar/data//0001380936/000117911020011679/0001179110-20-011679-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001380936
000175272420216723,2020-10-27,https://www.sec.gov/Archives/edgar/data//0001380936/000175272420216723/0001752724-20-216723-index.html,Form NPORT-P,Form NPORT-P - Monthly Portfolio Investments Report on Form N-PORT (Public):,0001380936
999999999520002717,2020-10-05,https://www.sec.gov/Archives/edgar/data//0001380936/999999999520002717/9999999995-20-002717-index.html,Form EFFECT,Form EFFECT - Notice of Effectiveness:,0001380936
000119312521007251,2021-01-12,https://www.sec.gov/Archives/edgar/data//0001321741/000119312521007251/0001193125-21-007251-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520303174,2020-11-25,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520303174/0001193125-20-303174-index.html,Form 40-17G,Form 40-17G - Fidelity Bond [Rule 17G-1(g)]:,0001321741
000119312520284786,2020-11-03,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520284786/0001193125-20-284786-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520284768,2020-11-03,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520284768/0001193125-20-284768-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000119312520268502,2020-10-13,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520268502/0001193125-20-268502-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520244301,2020-09-11,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520244301/0001193125-20-244301-index.html,Form 497AD,Form 497AD - Filing by certain investment companies of Rule 482 advertising [Rule 497 and 482(c)]:,0001321741
000119312520227007,2020-08-21,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520227007/0001193125-20-227007-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520216368,2020-08-11,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520216368/0001193125-20-216368-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520211875,2020-08-06,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520211875/0001193125-20-211875-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000119312520206458,2020-07-31,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520206458/0001193125-20-206458-index.html,Form 497AD,Form 497AD - Filing by certain investment companies of Rule 482 advertising [Rule 497 and 482(c)]:,0001321741
000119312520206449,2020-07-31,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520206449/0001193125-20-206449-index.html,Form 497AD,Form 497AD - Filing by certain investment companies of Rule 482 advertising [Rule 497 and 482(c)]:,0001321741
000117184320005307,2020-07-28,https://www.sec.gov/Archives/edgar/data//0001321741/000117184320005307/0001171843-20-005307-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520200964,2020-07-28,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520200964/0001193125-20-200964-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000119312520196295,2020-07-21,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520196295/0001193125-20-196295-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000117184320004950,2020-07-14,https://www.sec.gov/Archives/edgar/data//0001321741/000117184320004950/0001171843-20-004950-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520191096,2020-07-10,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520191096/0001193125-20-191096-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000119312520169363,2020-06-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520169363/0001193125-20-169363-index.html,Form DEF 14A,Form DEF 14A - Other definitive proxy statements:,0001321741
000119312520150098,2020-05-22,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520150098/0001193125-20-150098-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520150085,2020-05-22,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520150085/0001193125-20-150085-index.html,Form 497,Form 497 - Definitive materials:,0001321741
000119312520150076,2020-05-22,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520150076/0001193125-20-150076-index.html,Form 305B2,Form 305B2 - Filing [Trust Indenture Act]:,0001321741
000119312520148711,2020-05-21,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520148711/0001193125-20-148711-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520148707,2020-05-21,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520148707/0001193125-20-148707-index.html,Form 497,Form 497 - Definitive materials:,0001321741
000119312520144022,2020-05-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520144022/0001193125-20-144022-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000117184320003642,2020-05-12,https://www.sec.gov/Archives/edgar/data//0001321741/000117184320003642/0001171843-20-003642-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520140388,2020-05-12,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520140388/0001193125-20-140388-index.html,Form 10-K,"Form 10-K - Annual report [Section 13 and 15(d), not S-K Item 405]:",0001321741
000119312520134946,2020-05-06,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520134946/0001193125-20-134946-index.html,Form PRE 14A,Form PRE 14A - Other preliminary proxy statements:,0001321741
